Component,Purpose,Backend/Tech,Main Route
Email System 48,Mail.com SMTP Integration - set 48,SMTP,/send-invoice-48
Quote Builder 48,PDF + Email - set 48,WeasyPrint,/generate-quote-48
Invoice System 48,PDF + Scheduler - set 48,Custom,/generate-invoice-48
Client CRM 48,"Contact, project tracking - set 48",SQL,/clients-48
Staff CRM 48,"Roles, hours - set 48",SQL,/staff-48
Scheduler 48,Calendar with FullCalendar.js - set 48,JSON API,/calendar-48
Notifications 48,Toast + Mail/SMS - set 48,MailerLite/Twilio,/notifications-48
Checklist 48,Job-specific tasks - set 48,SQL,/jobs/:id/checklist-48
Inventory 48,Material tracking - set 48,SQL,/inventory-48
Financial Reports 48,"P&L, tax, forecasting - set 48",SQL,/reports-48
Client Portal 48,"Quotes, Invoices - set 48",Session/JWT,/portal/:clientId-48
Staff Portal 48,Job toolkit - set 48,PIN Access,/portal/:staffId-48
Data Tools 48,Upload/export CSV - set 48,Pandas,/data/upload-48
Services 48,Manage service templates - set 48,SQL,/services-48
Analytics 48,Growth & revenue - set 48,Plotly,/analytics-48
User Control 48,"Permissions, roles - set 48",Flask-Login,/admin/users-48
Photo Uploads 48,Before/after images - set 48,Cloud storage,/job/:id/photos-48
Email System 49,Mail.com SMTP Integration - set 49,SMTP,/send-invoice-49
Quote Builder 49,PDF + Email - set 49,WeasyPrint,/generate-quote-49
Invoice System 49,PDF + Scheduler - set 49,Custom,/generate-invoice-49
Client CRM 49,"Contact, project tracking - set 49",SQL,/clients-49
Staff CRM 49,"Roles, hours - set 49",SQL,/staff-49
Scheduler 49,Calendar with FullCalendar.js - set 49,JSON API,/calendar-49
Notifications 49,Toast + Mail/SMS - set 49,MailerLite/Twilio,/notifications-49
Checklist 49,Job-specific tasks - set 49,SQL,/jobs/:id/checklist-49
Inventory 49,Material tracking - set 49,SQL,/inventory-49
Financial Reports 49,"P&L, tax, forecasting - set 49",SQL,/reports-49
Client Portal 49,"Quotes, Invoices - set 49",Session/JWT,/portal/:clientId-49
Staff Portal 49,Job toolkit - set 49,PIN Access,/portal/:staffId-49
Data Tools 49,Upload/export CSV - set 49,Pandas,/data/upload-49
Services 49,Manage service templates - set 49,SQL,/services-49
Analytics 49,Growth & revenue - set 49,Plotly,/analytics-49
User Control 49,"Permissions, roles - set 49",Flask-Login,/admin/users-49
Photo Uploads 49,Before/after images - set 49,Cloud storage,/job/:id/photos-49
Email System 50,Mail.com SMTP Integration - set 50,SMTP,/send-invoice-50
Quote Builder 50,PDF + Email - set 50,WeasyPrint,/generate-quote-50
Invoice System 50,PDF + Scheduler - set 50,Custom,/generate-invoice-50
Client CRM 50,"Contact, project tracking - set 50",SQL,/clients-50
Staff CRM 50,"Roles, hours - set 50",SQL,/staff-50
Scheduler 50,Calendar with FullCalendar.js - set 50,JSON API,/calendar-50
Notifications 50,Toast + Mail/SMS - set 50,MailerLite/Twilio,/notifications-50
Checklist 50,Job-specific tasks - set 50,SQL,/jobs/:id/checklist-50
Inventory 50,Material tracking - set 50,SQL,/inventory-50
Financial Reports 50,"P&L, tax, forecasting - set 50",SQL,/reports-50
Client Portal 50,"Quotes, Invoices - set 50",Session/JWT,/portal/:clientId-50
Staff Portal 50,Job toolkit - set 50,PIN Access,/portal/:staffId-50
Data Tools 50,Upload/export CSV - set 50,Pandas,/data/upload-50
Services 50,Manage service templates - set 50,SQL,/services-50
Analytics 50,Growth & revenue - set 50,Plotly,/analytics-50
User Control 50,"Permissions, roles - set 50",Flask-Login,/admin/users-50
Photo Uploads 50,Before/after images - set 50,Cloud storage,/job/:id/photos-50
Email System 51,Mail.com SMTP Integration - set 51,SMTP,/send-invoice-51
Quote Builder 51,PDF + Email - set 51,WeasyPrint,/generate-quote-51
Invoice System 51,PDF + Scheduler - set 51,Custom,/generate-invoice-51
Client CRM 51,"Contact, project tracking - set 51",SQL,/clients-51
Staff CRM 51,"Roles, hours - set 51",SQL,/staff-51
Scheduler 51,Calendar with FullCalendar.js - set 51,JSON API,/calendar-51
Notifications 51,Toast + Mail/SMS - set 51,MailerLite/Twilio,/notifications-51
Checklist 51,Job-specific tasks - set 51,SQL,/jobs/:id/checklist-51
Inventory 51,Material tracking - set 51,SQL,/inventory-51
Financial Reports 51,"P&L, tax, forecasting - set 51",SQL,/reports-51
Client Portal 51,"Quotes, Invoices - set 51",Session/JWT,/portal/:clientId-51
Staff Portal 51,Job toolkit - set 51,PIN Access,/portal/:staffId-51
Data Tools 51,Upload/export CSV - set 51,Pandas,/data/upload-51
Services 51,Manage service templates - set 51,SQL,/services-51
Analytics 51,Growth & revenue - set 51,Plotly,/analytics-51
User Control 51,"Permissions, roles - set 51",Flask-Login,/admin/users-51
Photo Uploads 51,Before/after images - set 51,Cloud storage,/job/:id/photos-51
Email System 52,Mail.com SMTP Integration - set 52,SMTP,/send-invoice-52
Quote Builder 52,PDF + Email - set 52,WeasyPrint,/generate-quote-52
Invoice System 52,PDF + Scheduler - set 52,Custom,/generate-invoice-52
Client CRM 52,"Contact, project tracking - set 52",SQL,/clients-52
Staff CRM 52,"Roles, hours - set 52",SQL,/staff-52
Scheduler 52,Calendar with FullCalendar.js - set 52,JSON API,/calendar-52
Notifications 52,Toast + Mail/SMS - set 52,MailerLite/Twilio,/notifications-52
Checklist 52,Job-specific tasks - set 52,SQL,/jobs/:id/checklist-52
Inventory 52,Material tracking - set 52,SQL,/inventory-52
Financial Reports 52,"P&L, tax, forecasting - set 52",SQL,/reports-52
Client Portal 52,"Quotes, Invoices - set 52",Session/JWT,/portal/:clientId-52
Staff Portal 52,Job toolkit - set 52,PIN Access,/portal/:staffId-52
Data Tools 52,Upload/export CSV - set 52,Pandas,/data/upload-52
Services 52,Manage service templates - set 52,SQL,/services-52
Analytics 52,Growth & revenue - set 52,Plotly,/analytics-52
User Control 52,"Permissions, roles - set 52",Flask-Login,/admin/users-52
Photo Uploads 52,Before/after images - set 52,Cloud storage,/job/:id/photos-52
Email System 53,Mail.com SMTP Integration - set 53,SMTP,/send-invoice-53
Quote Builder 53,PDF + Email - set 53,WeasyPrint,/generate-quote-53
Invoice System 53,PDF + Scheduler - set 53,Custom,/generate-invoice-53
Client CRM 53,"Contact, project tracking - set 53",SQL,/clients-53
Staff CRM 53,"Roles, hours - set 53",SQL,/staff-53
Scheduler 53,Calendar with FullCalendar.js - set 53,JSON API,/calendar-53
Notifications 53,Toast + Mail/SMS - set 53,MailerLite/Twilio,/notifications-53
Checklist 53,Job-specific tasks - set 53,SQL,/jobs/:id/checklist-53
Inventory 53,Material tracking - set 53,SQL,/inventory-53
Financial Reports 53,"P&L, tax, forecasting - set 53",SQL,/reports-53
Client Portal 53,"Quotes, Invoices - set 53",Session/JWT,/portal/:clientId-53
Staff Portal 53,Job toolkit - set 53,PIN Access,/portal/:staffId-53
Data Tools 53,Upload/export CSV - set 53,Pandas,/data/upload-53
Services 53,Manage service templates - set 53,SQL,/services-53
Analytics 53,Growth & revenue - set 53,Plotly,/analytics-53
User Control 53,"Permissions, roles - set 53",Flask-Login,/admin/users-53
Photo Uploads 53,Before/after images - set 53,Cloud storage,/job/:id/photos-53
Email System 54,Mail.com SMTP Integration - set 54,SMTP,/send-invoice-54
Quote Builder 54,PDF + Email - set 54,WeasyPrint,/generate-quote-54
Invoice System 54,PDF + Scheduler - set 54,Custom,/generate-invoice-54
Client CRM 54,"Contact, project tracking - set 54",SQL,/clients-54
Staff CRM 54,"Roles, hours - set 54",SQL,/staff-54
Scheduler 54,Calendar with FullCalendar.js - set 54,JSON API,/calendar-54
Notifications 54,Toast + Mail/SMS - set 54,MailerLite/Twilio,/notifications-54
Checklist 54,Job-specific tasks - set 54,SQL,/jobs/:id/checklist-54
Inventory 54,Material tracking - set 54,SQL,/inventory-54
Financial Reports 54,"P&L, tax, forecasting - set 54",SQL,/reports-54
Client Portal 54,"Quotes, Invoices - set 54",Session/JWT,/portal/:clientId-54
Staff Portal 54,Job toolkit - set 54,PIN Access,/portal/:staffId-54
Data Tools 54,Upload/export CSV - set 54,Pandas,/data/upload-54
Services 54,Manage service templates - set 54,SQL,/services-54
Analytics 54,Growth & revenue - set 54,Plotly,/analytics-54
User Control 54,"Permissions, roles - set 54",Flask-Login,/admin/users-54
Photo Uploads 54,Before/after images - set 54,Cloud storage,/job/:id/photos-54
Email System 55,Mail.com SMTP Integration - set 55,SMTP,/send-invoice-55
Quote Builder 55,PDF + Email - set 55,WeasyPrint,/generate-quote-55
Invoice System 55,PDF + Scheduler - set 55,Custom,/generate-invoice-55
Client CRM 55,"Contact, project tracking - set 55",SQL,/clients-55
Staff CRM 55,"Roles, hours - set 55",SQL,/staff-55
Scheduler 55,Calendar with FullCalendar.js - set 55,JSON API,/calendar-55
Notifications 55,Toast + Mail/SMS - set 55,MailerLite/Twilio,/notifications-55
Checklist 55,Job-specific tasks - set 55,SQL,/jobs/:id/checklist-55
Inventory 55,Material tracking - set 55,SQL,/inventory-55
Financial Reports 55,"P&L, tax, forecasting - set 55",SQL,/reports-55
Client Portal 55,"Quotes, Invoices - set 55",Session/JWT,/portal/:clientId-55
Staff Portal 55,Job toolkit - set 55,PIN Access,/portal/:staffId-55
Data Tools 55,Upload/export CSV - set 55,Pandas,/data/upload-55
Services 55,Manage service templates - set 55,SQL,/services-55
Analytics 55,Growth & revenue - set 55,Plotly,/analytics-55
User Control 55,"Permissions, roles - set 55",Flask-Login,/admin/users-55
Photo Uploads 55,Before/after images - set 55,Cloud storage,/job/:id/photos-55
Email System 56,Mail.com SMTP Integration - set 56,SMTP,/send-invoice-56
Quote Builder 56,PDF + Email - set 56,WeasyPrint,/generate-quote-56
Invoice System 56,PDF + Scheduler - set 56,Custom,/generate-invoice-56
Client CRM 56,"Contact, project tracking - set 56",SQL,/clients-56
Staff CRM 56,"Roles, hours - set 56",SQL,/staff-56
Scheduler 56,Calendar with FullCalendar.js - set 56,JSON API,/calendar-56
Notifications 56,Toast + Mail/SMS - set 56,MailerLite/Twilio,/notifications-56
Checklist 56,Job-specific tasks - set 56,SQL,/jobs/:id/checklist-56
Inventory 56,Material tracking - set 56,SQL,/inventory-56
Financial Reports 56,"P&L, tax, forecasting - set 56",SQL,/reports-56
Client Portal 56,"Quotes, Invoices - set 56",Session/JWT,/portal/:clientId-56
Staff Portal 56,Job toolkit - set 56,PIN Access,/portal/:staffId-56
Data Tools 56,Upload/export CSV - set 56,Pandas,/data/upload-56
Services 56,Manage service templates - set 56,SQL,/services-56
Analytics 56,Growth & revenue - set 56,Plotly,/analytics-56
User Control 56,"Permissions, roles - set 56",Flask-Login,/admin/users-56
Photo Uploads 56,Before/after images - set 56,Cloud storage,/job/:id/photos-56
Email System 57,Mail.com SMTP Integration - set 57,SMTP,/send-invoice-57
Quote Builder 57,PDF + Email - set 57,WeasyPrint,/generate-quote-57
Invoice System 57,PDF + Scheduler - set 57,Custom,/generate-invoice-57
Client CRM 57,"Contact, project tracking - set 57",SQL,/clients-57
Staff CRM 57,"Roles, hours - set 57",SQL,/staff-57
Scheduler 57,Calendar with FullCalendar.js - set 57,JSON API,/calendar-57
Notifications 57,Toast + Mail/SMS - set 57,MailerLite/Twilio,/notifications-57
Checklist 57,Job-specific tasks - set 57,SQL,/jobs/:id/checklist-57
Inventory 57,Material tracking - set 57,SQL,/inventory-57
Financial Reports 57,"P&L, tax, forecasting - set 57",SQL,/reports-57
Client Portal 57,"Quotes, Invoices - set 57",Session/JWT,/portal/:clientId-57
Staff Portal 57,Job toolkit - set 57,PIN Access,/portal/:staffId-57
Data Tools 57,Upload/export CSV - set 57,Pandas,/data/upload-57
Services 57,Manage service templates - set 57,SQL,/services-57
Analytics 57,Growth & revenue - set 57,Plotly,/analytics-57
User Control 57,"Permissions, roles - set 57",Flask-Login,/admin/users-57
Photo Uploads 57,Before/after images - set 57,Cloud storage,/job/:id/photos-57
Email System 58,Mail.com SMTP Integration - set 58,SMTP,/send-invoice-58
Quote Builder 58,PDF + Email - set 58,WeasyPrint,/generate-quote-58
Invoice System 58,PDF + Scheduler - set 58,Custom,/generate-invoice-58
Client CRM 58,"Contact, project tracking - set 58",SQL,/clients-58
Staff CRM 58,"Roles, hours - set 58",SQL,/staff-58
Scheduler 58,Calendar with FullCalendar.js - set 58,JSON API,/calendar-58
Notifications 58,Toast + Mail/SMS - set 58,MailerLite/Twilio,/notifications-58
Checklist 58,Job-specific tasks - set 58,SQL,/jobs/:id/checklist-58
Inventory 58,Material tracking - set 58,SQL,/inventory-58
Financial Reports 58,"P&L, tax, forecasting - set 58",SQL,/reports-58
Client Portal 58,"Quotes, Invoices - set 58",Session/JWT,/portal/:clientId-58
Staff Portal 58,Job toolkit - set 58,PIN Access,/portal/:staffId-58
Data Tools 58,Upload/export CSV - set 58,Pandas,/data/upload-58
Services 58,Manage service templates - set 58,SQL,/services-58
Analytics 58,Growth & revenue - set 58,Plotly,/analytics-58
User Control 58,"Permissions, roles - set 58",Flask-Login,/admin/users-58
Photo Uploads 58,Before/after images - set 58,Cloud storage,/job/:id/photos-58
Email System 59,Mail.com SMTP Integration - set 59,SMTP,/send-invoice-59
Quote Builder 59,PDF + Email - set 59,WeasyPrint,/generate-quote-59
Invoice System 59,PDF + Scheduler - set 59,Custom,/generate-invoice-59
Client CRM 59,"Contact, project tracking - set 59",SQL,/clients-59
Staff CRM 59,"Roles, hours - set 59",SQL,/staff-59
Scheduler 59,Calendar with FullCalendar.js - set 59,JSON API,/calendar-59
Notifications 59,Toast + Mail/SMS - set 59,MailerLite/Twilio,/notifications-59
Checklist 59,Job-specific tasks - set 59,SQL,/jobs/:id/checklist-59
Inventory 59,Material tracking - set 59,SQL,/inventory-59
Financial Reports 59,"P&L, tax, forecasting - set 59",SQL,/reports-59
Client Portal 59,"Quotes, Invoices - set 59",Session/JWT,/portal/:clientId-59
Staff Portal 59,Job toolkit - set 59,PIN Access,/portal/:staffId-59
Data Tools 59,Upload/export CSV - set 59,Pandas,/data/upload-59
Services 59,Manage service templates - set 59,SQL,/services-59
